,sentences
0,"['Identification', 'of', 'APC2,', 'a', 'homologue', 'of', 'the', 'adenomatous', 'polyposis', 'coli', 'tumour', 'suppressor']"
1,"['The', 'adenomatous', 'polyposis', 'coli', '(', 'APC', ')', 'tumour', '-suppressor', 'protein', 'controls', 'the', 'Wnt', 'signalling', 'pathway', 'by', 'forming', 'a', 'complex', 'with', 'glycogen', 'synthase', 'kinase', '3beta', '(', 'GSK-3beta', ')', ',', 'axin', '/', 'conductin', 'and', 'betacatenin']"
2,"['Complex', 'formation', 'induces', 'the', 'rapid', 'degradation', 'of', 'betacatenin']"
3,"['In', 'colon', 'carcinoma', 'cells', ',', 'loss', 'of', 'APC', 'leads', 'to', 'the', 'accumulation', 'of', 'betacatenin', 'in', 'the', 'nucleus', ',', 'where', 'it', 'binds', 'to', 'and', 'activates', 'the', 'Tcf-4', 'transcription', 'factor', '(', 'reviewed', 'in', '[', '1', ']', '[', '2', ']', ')']"
4,"['Here', ',', 'we', 'report', 'the', 'identification', 'and', 'genomic', 'structure', 'of', 'APC', 'homologues']"
5,"['Mammalian', 'APC2', ',', 'which', 'closely', 'resembles', 'APC', 'in', 'overall', 'domain', 'structure', ',', 'was', 'functionally', 'analyzed', 'and', 'shown', 'to', 'contain', 'two', 'SAMP', 'domains', ',', 'both', 'of', 'which', 'are', 'required', 'for', 'binding', 'to', 'conductin']"
6,"['Like', 'APC', ',', 'APC2', 'regulates', 'the', 'formation', 'of', 'active', 'betacatenin-Tcf', 'complexes', ',', 'as', 'demonstrated', 'using', 'transient', 'transcriptional', 'activation', 'assays', 'in', 'APC', '-', '/', '-', 'colon', 'carcinoma', 'cells']"
7,"['Human', 'APC2', 'maps', 'to', 'chromosome', '19p13']"
8,['3']
9,"['APC', 'and', 'APC2', 'may', 'therefore', 'have', 'comparable', 'functions', 'in', 'development', 'and', 'cancer']"
10,"['A', 'common', 'MSH2', 'mutation', 'in', 'English', 'and', 'North', 'American', 'HNPCC', 'families:', 'origin,', 'phenotypic', 'expression,', 'and', 'sex', 'specific', 'differences', 'in', 'colorectal', 'cancer']"
11,"['The', 'frequency', ',', 'origin', ',', 'and', 'phenotypic', 'expression', 'of', 'a', 'germline', 'MSH2', 'gene', 'mutation', 'previously', 'identified', 'in', 'seven', 'kindreds', 'with', 'hereditary', 'non-polyposis', 'cancer', 'syndrome', '(', 'HNPCC', ')', 'was', 'investigated']"
12,"['The', 'mutation', '(', 'A--', '>', 'T', 'at', 'nt943', '+', '3', ')', 'disrupts', 'the', '3', 'splice', 'site', 'of', 'exon', '5', 'leading', 'to', 'the', 'deletion', 'of', 'this', 'exon', 'from', 'MSH2', 'mRNA', 'and', 'represents', 'the', 'only', 'frequent', 'MSH2', 'mutation', 'so', 'far', 'reported']"
13,"['Although', 'this', 'mutation', 'was', 'initially', 'detected', 'in', 'four', 'of', '33', 'colorectal', 'cancer', 'families', 'analysed', 'from', 'eastern', 'England', ',', 'more', 'extensive', 'analysis', 'has', 'reduced', 'the', 'frequency', 'to', 'four', 'of', '52', '(', '8', '%', ')', 'English', 'HNPCC', 'kindreds', 'analysed']"
14,"['In', 'contrast', ',', 'the', 'MSH2', 'mutation', 'was', 'identified', 'in', '10', 'of', '20', '(', '50', '%', ')', 'separately', 'identified', 'colorectal', 'families', 'from', 'Newfoundland']"
15,"['To', 'investigate', 'the', 'origin', 'of', 'this', 'mutation', 'in', 'colorectal', 'cancer', 'families', 'from', 'England', '(', 'n', '=', '4', ')', ',', 'Newfoundland', '(', 'n', '=', '10', ')', ',', 'and', 'the', 'United', 'States', '(', 'n', '=', '3', ')', ',', 'haplotype', 'analysis', 'using', 'microsatellite', 'markers', 'linked', 'to', 'MSH2', 'was', 'performed']"
16,"['Within', 'the', 'English', 'and', 'US', 'families', 'there', 'was', 'little', 'evidence', 'for', 'a', 'recent', 'common', 'origin', 'of', 'the', 'MSH2', 'splice', 'site', 'mutation', 'in', 'most', 'families']"
17,"['In', 'contrast', ',', 'a', 'common', 'haplotype', 'was', 'identified', 'at', 'the', 'two', 'flanking', 'markers', '(', 'CA5', 'and', 'D2S288', ')', 'in', 'eight', 'of', 'the', 'Newfoundland', 'families']"
